SubjectID,Date,LocalTime,UnityTime,Phase,BlockNumber,TrialNumber,Step,TrialTime,Stage,Context,xPos,yPos,zPos,xRot,yRot,zRot
0,7_25,11_53_43,6.761455,1,0,0,0,2.474961,InstructionPhase,A,0.002005696,2.412523,-0.001438618,2.375346,0.03027972,355.7773,
0,7_25,11_53_43,6.77259,1,0,0,0,2.486096,InstructionPhase,A,0.001954913,2.412472,-0.00138557,2.406527,0.03127564,355.8018,
0,7_25,11_53_43,6.783752,1,0,0,0,2.497258,InstructionPhase,A,0.001865983,2.412391,-0.001377106,2.449124,0.03949679,355.8303,
0,7_25,11_53_43,6.794857,1,0,0,0,2.508363,InstructionPhase,A,0.001786351,2.412385,-0.001397491,2.48661,0.03146396,355.8569,
0,7_25,11_53_43,6.806421,1,0,0,0,2.519927,InstructionPhase,A,0.00175035,2.412354,-0.001375318,2.507924,0.01597918,355.8722,
0,7_25,11_53_44,6.817401,1,0,0,0,2.530907,InstructionPhase,A,0.00166297,2.412384,-0.001371384,2.524656,0.006572859,355.899,
0,7_25,11_53_44,6.828339,1,0,0,0,2.541844,InstructionPhase,A,0.001556396,2.412352,-0.001302123,2.528951,359.9763,355.9227,
0,7_25,11_53_44,6.839229,1,0,0,0,2.552734,InstructionPhase,A,0.001488686,2.412348,-0.001280665,2.539845,359.9535,355.9375,
0,7_25,11_53_44,6.850449,1,0,0,0,2.563955,InstructionPhase,A,0.001477599,2.41232,-0.00125587,2.542899,359.9235,355.9362,
0,7_25,11_53_44,6.861472,1,0,0,0,2.574977,InstructionPhase,A,0.001464486,2.41232,-0.001202106,2.553368,359.8991,355.947,
0,7_25,11_53_44,6.872508,1,0,0,0,2.586014,InstructionPhase,A,0.001417398,2.412299,-0.001218796,2.590465,359.8695,355.9586,
0,7_25,11_53_44,6.883701,1,0,0,0,2.597207,InstructionPhase,A,0.001332521,2.412246,-0.001236796,2.619328,359.8538,355.9635,
0,7_25,11_53_44,6.895209,1,0,0,0,2.608715,InstructionPhase,A,0.001312375,2.412204,-0.001209736,2.644975,359.831,355.9803,
0,7_25,11_53_44,6.907094,1,0,0,0,2.6206,InstructionPhase,A,0.001261115,2.412196,-0.001188993,2.634942,359.8073,355.9911,
0,7_25,11_53_44,6.917626,1,0,0,0,2.631132,InstructionPhase,A,0.001247883,2.412221,-0.001156926,2.600056,359.7949,356.0121,
0,7_25,11_53_44,6.928301,1,0,0,0,2.641807,InstructionPhase,A,0.001224041,2.412268,-0.001118422,2.568864,359.7784,356.043,
0,7_25,11_53_44,6.939502,1,0,0,0,2.653008,InstructionPhase,A,0.001211762,2.412327,-0.001081347,2.546063,359.7813,356.0528,
0,7_25,11_53_44,6.95081,1,0,0,0,2.664316,InstructionPhase,A,0.00120616,2.412369,-0.001076698,2.525686,359.7842,356.0468,
0,7_25,11_53_44,6.961657,1,0,0,0,2.675163,InstructionPhase,A,0.001084685,2.412261,-0.001148224,2.53523,359.8049,356.0458,
0,7_25,11_53_44,6.972691,1,0,0,0,2.686196,InstructionPhase,A,0.001020312,2.41226,-0.001068592,2.568246,359.8302,356.0404,
0,7_25,11_53_44,6.983977,1,0,0,0,2.697483,InstructionPhase,A,0.001035452,2.412227,-0.001039505,2.597854,359.8371,356.0404,
0,7_25,11_53_44,6.99519,1,0,0,0,2.708696,InstructionPhase,A,0.0009843111,2.412227,-0.001083732,2.635586,359.8456,356.0473,
0,7_25,11_53_44,7.00642,1,0,0,0,2.719925,InstructionPhase,A,0.0009149313,2.412216,-0.001014113,2.639875,359.8443,356.0596,
0,7_25,11_53_44,7.017655,1,0,0,0,2.731161,InstructionPhase,A,0.0008765459,2.412221,-0.001003981,2.650453,359.8539,356.0796,
0,7_25,11_53_44,7.028415,1,0,0,0,2.74192,InstructionPhase,A,0.0007872581,2.412176,-0.0009454489,2.632422,359.841,356.0977,
0,7_25,11_53_44,7.039946,1,0,0,0,2.753452,InstructionPhase,A,0.000718832,2.412139,-0.0009621382,2.636014,359.8373,356.1089,
0,7_25,11_53_44,7.050385,1,0,0,0,2.76389,InstructionPhase,A,0.0006374121,2.412123,-0.0009118319,2.650523,359.8362,356.1165,
